device: cuda
train=107718  valid=11973  test=120363

=== single model ===
/home/nagle/miniconda3/envs/toehold_gpu/lib/python3.10/site-packages/torch/nn/modules/lazy.py:178: UserWarning: Lazy modules are a new feature under heavy development so changes to the API or functionality can happen at any moment.
  warnings.warn('Lazy modules are a new feature under heavy development '
  [member2] epoch 132  val_pearson=0.8973
  [member2] epoch 133  val_pearson=0.8979
  [member2] early stop at epoch 133
  member  2 (seed 45): best val pearson = 0.8985
  [member3] epoch   1  val_pearson=0.8394 *
  [member3] epoch   2  val_pearson=0.8521 *
  [member3] epoch   3  val_pearson=0.8611 *
  [member3] epoch   4  val_pearson=0.8617 *
  [member3] epoch   5  val_pearson=0.8643 *
  [member3] epoch   6  val_pearson=0.8724 *
  [member3] epoch   7  val_pearson=0.8757 *
  [member3] epoch   8  val_pearson=0.8782 *
  [member3] epoch   9  val_pearson=0.8786 *
  [member3] epoch  10  val_pearson=0.8831 *
  [member3] epoch  11  val_pearson=0.8804
  [member3] epoch  12  val_pearson=0.8843 *
  [member3] epoch  13  val_pearson=0.8812
  [member3] epoch  14  val_pearson=0.8861 *
  [member3] epoch  15  val_pearson=0.8843
  [member3] epoch  16  val_pearson=0.8858
  [member3] epoch  17  val_pearson=0.8865 *
  [member3] epoch  18  val_pearson=0.8857
  [member3] epoch  19  val_pearson=0.8846
  [member3] epoch  20  val_pearson=0.8891 *
  [member3] epoch  21  val_pearson=0.8831
  [member3] epoch  22  val_pearson=0.8878
  [member3] epoch  23  val_pearson=0.8895 *
  [member3] epoch  24  val_pearson=0.8901 *
  [member3] epoch  25  val_pearson=0.8878
  [member3] epoch  26  val_pearson=0.8904 *
  [member3] epoch  27  val_pearson=0.8888
  [member3] epoch  28  val_pearson=0.8899
  [member3] epoch  29  val_pearson=0.8845
  [member3] epoch  30  val_pearson=0.8887
  [member3] epoch  31  val_pearson=0.8897
  [member3] epoch  32  val_pearson=0.8907 *
  [member3] epoch  33  val_pearson=0.8903
  [member3] epoch  34  val_pearson=0.8907
  [member3] epoch  35  val_pearson=0.8887
  [member3] epoch  36  val_pearson=0.8912 *
  [member3] epoch  37  val_pearson=0.8892
  [member3] epoch  38  val_pearson=0.8927 *
  [member3] epoch  39  val_pearson=0.8916
  [member3] epoch  40  val_pearson=0.8902
  [member3] epoch  41  val_pearson=0.8920
  [member3] epoch  42  val_pearson=0.8914
  [member3] epoch  43  val_pearson=0.8910
  [member3] epoch  44  val_pearson=0.8930 *
  [member3] epoch  45  val_pearson=0.8918
